date,description,amount
07/01/2024,Orig CO Name:Paymentech Orig ID:1020401225 Desc Date:240701 CO Entry Descr:Deposit Sec:CCD Trace#:021000028730252 Eed:240701 Ind ID:6742628 Ind Name:Tech Cargo LLC Trn: 1838730252Tc,763.23
07/03/2024,Deposit 1244373612,21390.00
07/03/2024,Orig CO Name:Pah Distributors Orig ID:S941687665 Desc Date:240703 CO Entry Descr:Sender Sec:CTX Trace#:113000029908196 Eed:240703 Ind ID:728900336 Ind Name:0000Tech Cargo LLC Trn: 1859908196Tc,24254.97
07/05/2024,Book Transfer Credit B/O: Banco De Credito Del Peru - Lima Lima Peru 15026- Pe Org:/193000860175145 Electro Conductores Peruanos S A C Ogb: Banco De Credito Del Peru - Svcr Oncalle Centenario No 156 Urb Las Ref:/Chgs/USD85.00/ Trn: 7321304187Fs,7180.78
07/05/2024,Zelle Payment From Gd Group Supply Corp Bacfqg9Agcrg,2225.00
07/08/2024,Fedwire Credit Via: Bradesco Bac Florida Bank/067009044 B/O: Piquant Manor Ltd. Carrasquilla Rep De Panama Ref: Chase Nyc/Ctr/Bnf=Tech Cargo LLC Doral FL 33126 US/Ac-000000007923 Rf B=R68445 Obi=/Roc/R68445/Uri/Invoic E 16346 Y A Bono Bbi=/Chgs/USD0./Oc MT/USD5727.30/ Imad: 0708Mfp00051000236 Trn: 0672641190Ff,5702.30
07/08/2024,Orig CO Name:Supricom LLC Orig ID:S941687665 Desc Date:240708 CO Entry Descr:Sender Sec:CTX Trace#:113000022526458 Eed:240708 Ind ID:729617734 Ind Name:0000Tech Cargo LLC Trn: 1902526458Tc,9532.00
07/09/2024,Fedwire Credit Via: Amerant Bank N.A./067010509 B/O: Casoca Corp Coral Gables FL 33134 Ref: Chase Nyc/Ctr/Bnf=Tech Cargo LLC Doral FL 33126 US/Ac-000000007923 Rf B=5892809 Obi=Payment Against Invoi Ce 15990 Bbi=/Ocmt/USD25882.44/ Imad: 0709Mmqfmp7G000739 Trn: 0864501191Ff,25882.44
07/09/2024,Orig CO Name:Paymentech Orig ID:1020401225 Desc Date:240709 CO Entry Descr:Deposit Sec:CCD Trace#:021000020374124 Eed:240709 Ind ID:6742628 Ind Name:Tech Cargo LLC Trn: 1910374124Tc,4806.52
07/09/2024,Orig CO Name:Novact Corporati Orig ID:9200502235 Desc Date:240709 CO Entry Descr:ACH Pmt Sec:CCD Trace#:021000025487041 Eed:240709 Ind ID:11137476726 Ind Name:Tech Cargo 15982-16106-16023 Trn: 1915487041Tc,1545.69
07/10/2024,Book Transfer Credit B/O: Distribuidora El Punto LLC North Bay Village FL 33141-4556 US Trn: 3048304192Es,31143.01
07/11/2024,Orig CO Name:Pah Distributors Orig ID:S941687665 Desc Date:240711 CO Entry Descr:Sender Sec:CTX Trace#:113000023298458 Eed:240711 Ind ID:730348012 Ind Name:0000Tech Cargo LLC Trn: 1933298458Tc,14211.57
07/11/2024,Zelle Payment From Gd Group Supply Corp Bacepwh7Z5Ln,2025.00
07/12/2024,Orig CO Name:Global Cargo And Orig ID:0831118696 Desc Date: CO Entry Descr:ACH Creditsec:PPD Trace#:053101123486898 Eed:240712 Ind ID: Ind Name:Tech Cargo LLC Trn: 1943486898Tc,7360.00
07/15/2024,Zelle Payment From Emmanuel David Pena Olmos 21408428232,2000.00
07/16/2024,Zelle Payment From Emmanuel David Pena Olmos 21429566446,2000.00
07/16/2024,Zelle Payment From Gd Group Supply Corp Bacfwxgf7Xmq,975.00
07/18/2024,Orig CO Name:Supricom LLC Orig ID:S941687665 Desc Date:240718 CO Entry Descr:Sender Sec:CTX Trace#:113000027577909 Eed:240718 Ind ID:731605256 Ind Name:0000Tech Cargo LLC Trn: 2007577909Tc,10050.00
07/18/2024,Zelle Payment From Emmanuel David Pena Olmos 21449657231,2000.00
07/18/2024,Orig CO Name:Southstar CA6087 Orig ID:4262227808 Desc Date: CO Entry Descr:Payments Sec:CCD Trace#:053904483686233 Eed:240718 Ind ID:267084131 Ind Name:Tech Cargo LLC Trn: 2003686233Tc,1609.00
07/22/2024,Fedwire Credit Via: Wells Fargo Bank N.A./026005092 B/O: C-Post International N.V. Curacao Ref: Chase Nyc/Ctr/Bnf=Tech Cargo LLC Doral FL 33126 US/Ac-000000007923 Rf B=O124005707970 Obi=Cpost- 15772 Tm 16272 And Credn1639 9 Bbi=/Chgs/US D75.00/Ocmt/USD16179.42/ Imad: 0722Mmqfmpkg002067 Trn: 0204341204Ff,16104.42
07/22/2024,Zelle Payment From Emmanuel David Pena Olmos 21475145527,2000.00
07/22/2024,Zelle Payment From Medical Instrument Supplier LLC 21485224568,1706.50
07/22/2024,Zelle Payment From Aca Warehousing And Fulfillment LLC Wfct0Sfqhpwr,20.00
07/23/2024,Zelle Payment From Tu Paquetico Corp. 21494527688,500.00
07/24/2024,Zelle Payment From Emmanuel David Pena Olmos 21498341743,2000.00
07/25/2024,Deposit 1233388631,3677.12
07/25/2024,Orig CO Name:Paymentech Orig ID:1020401225 Desc Date:240725 CO Entry Descr:Deposit Sec:CCD Trace#:021000029167929 Eed:240725 Ind ID:6742628 Ind Name:Tech Cargo LLC Trn: 2079167929Tc,2066.53
07/26/2024,Orig CO Name:Supricom LLC Orig ID:S941687665 Desc Date:240726 CO Entry Descr:Sender Sec:CTX Trace#:113000022423585 Eed:240726 Ind ID:732943318 Ind Name:0000Tech Cargo LLC Trn: 2082423585Tc,5025.00
07/29/2024,Zelle Payment From Edwin De Jesus Torres Rodriguez 21543616063,4024.40
07/29/2024,Zelle Payment From Chrome Group Inc. 21555374121,490.00
07/30/2024,Zelle Payment From Belgradus Logistics USA LLC 21558845824,3580.00
07/30/2024,Zelle Payment From Emmanuel David Pena Olmos 21562762690,277.11
07/31/2024,Deposit 1247737041,31980.00
07/31/2024,Zelle Payment From Gd Group Supply Corp Bacfwn9VI32X,2075.00
08/01/2024,Orig CO Name:Paymentech Orig ID:1020401225 Desc Date:240801 CO Entry Descr:Deposit Sec:CCD Trace#:021000028872580 Eed:240801 Ind ID:6742628 Ind Name:Tech Cargo LLC Trn: 2148872580Tc,1693.85
08/02/2024,Zelle Payment From Medical Instrument Supplier LLC 21601185409,3170.00
08/06/2024,Chips Credit Via: Citibank N.A./0008 B/O: Amcor Pet Packaging De Venezue Nortevalencia Estado Carabobo Ve Ref: Nbnf=Tech Cargo LLC Doral FL 33126 US/Ac-000000007923 Org=/36228349 N Ortevalencia Estado Carabobo Ve Ogb =Citibank N.A. New York NY US Obi=/Uri/Pago Facturas 16181-87-88 Ssn: 00510505 Trn: 0124140219Fc,4803.11
08/06/2024,Zelle Payment From Distribuidora El Punto LLC Bactk5Hd6Hla,7000.00
08/08/2024,Deposit 1244747218,3516.24
08/08/2024,Zelle Payment From America Travel LLC 21665445537,3150.00
08/09/2024,Deposit 1243746456,1115.00
08/09/2024,Zelle Payment From Distribuidora El Punto LLC Bacvdikew5Uj,4917.14
08/09/2024,Zelle Payment From America Travel LLC 21682588184,3500.00
08/12/2024,Orig CO Name:Pah Distributors Orig ID:S941687665 Desc Date:240812 CO Entry Descr:Sender Sec:CTX Trace#:113000025733517 Eed:240812 Ind ID:736304350 Ind Name:0000Tech Cargo LLC Trn: 2255733517Tc,10092.46
08/12/2024,Zelle Payment From Gd Group Supply Corp Baciynjod6Lw,5837.26
08/12/2024,Zelle Payment From America Travel LLC 21690330717,2350.00
08/13/2024,Orig CO Name:Intuit 43725913 Orig ID:9215986202 Desc Date:080824 CO Entry Descr:Bill_Pay Sec:CCD Trace#:021000028629893 Eed:240813 Ind ID:World of Racks Ind Name:Tech Cargo LLC Trn: 2268629893Tc,54447.90
08/13/2024,Zelle Payment From Emmanuel David Pena Olmos 21718677257,2000.00
08/13/2024,Orig CO Name:Novact Corporati Orig ID:9200502235 Desc Date:240813 CO Entry Descr:ACH Pmt Sec:CCD Trace#:021000028652331 Eed:240813 Ind ID:11141258573 Ind Name:Tech Cargo 16278/16518/16519/16520 Trn: 2268652331Tc,1280.01
08/14/2024,Zelle Payment From Abismo CA Ff 2Jn0Iozh8C10,4390.00
08/14/2024,Zelle Payment From America Travel LLC 21724190455,3161.36
08/16/2024,Zelle Payment From Flori Cargo LLC Bacsqbdhlewe,3200.00
08/19/2024,Orig CO Name:Supricom LLC Orig ID:S941687665 Desc Date:240819 CO Entry Descr:Sender Sec:CTX Trace#:113000024981023 Eed:240819 Ind ID:737591594 Ind Name:0000Tech Cargo LLC Trn: 2324981023Tc,4825.00
08/19/2024,Zelle Payment From Emmanuel David Pena Olmos 21772837103,2000.00
08/20/2024,Fedwire Credit Via: Bank of America N.A./026009593 B/O: C-Post International N.V. Curacao Ref: Chase Nyc/Ctr/Bnf=Tech Cargo LLC Doral FL 33126 US/Ac-000000007923 Rf B=O124006680007 Obi=Cpost- 16351 Un Till 16548 Hbol44849 .44898/45287/4 5409 Bbi=/Chgs/USD60.00/Ocmt/USD590 9.23/ Imad: 0820B6B7Hu4R001642 Trn: 0019471233Ff,5849.23
08/20/2024,Zelle Payment From Emmanuel David Pena Olmos 21793041363,2000.00
08/21/2024,Zelle Payment From Tu Paquetico Corp. 21797578379,4755.55
08/22/2024,Orig CO Name:Global Cargo And Orig ID:0831118696 Desc Date: CO Entry Descr:ACH Creditsec:PPD Trace#:053101129847398 Eed:240822 Ind ID: Ind Name:Tech Cargo LLC Trn: 2359847398Tc,5400.00
08/22/2024,Zelle Payment From Emmanuel David Pena Olmos 21812464096,2000.00
08/26/2024,Zelle Payment From Emmanuel David Pena Olmos 21843742304,2000.00
08/27/2024,Zelle Payment From Emmanuel David Pena Olmos 21858464451,1702.83
08/28/2024,Zelle Payment From Sophi Inc Bacjxn7Rouhb,10282.00
08/29/2024,Zelle Payment From Tu Paquetico Corp. 21878942271,300.00
09/03/2024,Book Transfer Credit B/O: Lux Sky Cargo Inc Miami FL 33166-2739 US Ref: Invoice #16645 Trn: 3949564247Es,5230.00
09/03/2024,Zelle Payment From Johanan David Davila Castro Bacdb1Hr6Nzh,2438.28
09/04/2024,Book Transfer Credit B/O: Afex Agentes De Valores Limitada Santiago Chile 0000 - Cl Org:/770205999 Transporte Internacional G Y L Spa Ogb: Afex Agentes De Valores Limitada Burgos 80 Ref: Facturas 16390 16512 16514 1652 4 16513 Gl672 16736 16735 Gl681 Gl682 Gl670/Ocmt/USD3372.44/ Trn: 1804042247Fs,3372.44
09/05/2024,Orig CO Name:Intuit 58359533 Orig ID:9215986202 Desc Date:083024 CO Entry Descr:Bill_Pay Sec:CCD Trace#:021000028258105 Eed:240905 Ind ID:World of Racks Ind Name:Tech Cargo LLC Trn: 2498258105Tc,35050.73
09/05/2024,Orig CO Name:Supricom LLC Orig ID:S941687665 Desc Date:240905 CO Entry Descr:Sender Sec:CTX Trace#:113000023002828 Eed:240905 Ind ID:741017028 Ind Name:0000Tech Cargo LLC Trn: 2493002828Tc,15131.00
09/06/2024,Chips Credit Via: Wells Fargo Bank N.A./0509 B/O: Ecomaterials Inc. CA Ref: Nbnf=Tech Cargo LLC Doral FL 33126 US/Ac-000000007923 Org=/0642202702 10 CA Ogb=Canadian Imperial Bank of Commerce Toronto On Canada M5E 1-G 4 CA Obi=/Uri/Inv. 16734/Roc/281367 3 Bbi=/Chgs/USD0.00/Ocmt/USD2620.00/ Ssn: 00513634 Trn: 0125384250Fc,2600.00
09/06/2024,Deposit 2112034186,5230.00
09/06/2024,Orig CO Name:Pah Distributors Orig ID:S941687665 Desc Date:240906 CO Entry Descr:Sender Sec:CTX Trace#:113000026331157 Eed:240906 Ind ID:741439164 Ind Name:0000Tech Cargo LLC Trn: 2506331157Tc,15094.10
09/11/2024,Zelle Payment From Bilge Uzun Rgn0Ipr2Flwk,2500.00
09/12/2024,Zelle Payment From Bilge Uzun Rgn0Ipr2Fm7O,234.34
09/16/2024,Book Transfer Credit B/O: Distribuidora El Punto LLC North Bay Village FL 33141-4556 US Trn: 3058984260Es,9360.00
09/17/2024,Orig CO Name:Supricom LLC Orig ID:S941687665 Desc Date:240917 CO Entry Descr:Sender Sec:CTX Trace#:113000026073747 Eed:240917 Ind ID:743303046 Ind Name:0000Tech Cargo LLC Trn: 2616073747Tc,13945.00
09/17/2024,Orig CO Name:Novact Corporati Orig ID:9200502235 Desc Date:240917 CO Entry Descr:ACH Pmt Sec:CCD Trace#:021000026359189 Eed:240917 Ind ID:11145065558 Ind Name:Tech Cargo 16519-16799-16600 Trn: 2616359189Tc,1020.00
09/17/2024,Orig CO Name:Chax Multiservic Orig ID:9200502235 Desc Date:240917 CO Entry Descr:ACH Pmt Sec:CCD Trace#:021000026362648 Eed:240917 Ind ID:11145022122 Ind Name:Tech Cargo Invoice 16771 Trn: 2616362648Tc,575.00
09/19/2024,Orig CO Name:Supricom USA LLC Orig ID:S941687665 Desc Date:240919 CO Entry Descr:Sender Sec:CTX Trace#:113000028145297 Eed:240919 Ind ID:743630178 Ind Name:0000Tech Cargo LLC Trn: 2638145297Tc,4175.00
09/19/2024,Orig CO Name:Global Cargo And Orig ID:0831118696 Desc Date: CO Entry Descr:ACH Creditsec:PPD Trace#:053101124626426 Eed:240919 Ind ID: Ind Name:Tech Cargo LLC Trn: 2634626426Tc,2500.00
09/20/2024,Fedwire Credit Via: Ocean Bank/066011392 B/O: Rcm International Freight Forwardinurb Valle Abajo Caracas C Venezuela Ref: Chase Nyc/Ctr/Bnf=Tech Cargo LLC Doral FL 33126 US/Ac-000000007923 Rf B=Inv 16868 Obi=Ocean Freight Lcl U Nispace Equipos Imad: 0920Mmqfmpo7000142 Trn: 0443471264Ff,1422.00
09/23/2024,Deposit 2123365271,1574.00
09/23/2024,Zelle Payment From Msm Cargo Xpress Supply LLC Bacfbev05Yty,290.00
09/24/2024,Zelle Payment From Kodax Inc . Tdp0Iq4C2Xq0,1229.60
09/24/2024,Zelle Payment From Emmanuel David Pena Olmos 22160210576,675.00
09/25/2024,Chips Credit Via: Citibank N.A./0008 B/O: Amcor Pet Packaging De Venezue Nortevalencia Estado Carabobo Ve Ref: Nbnf=Tech Cargo LLC Doral FL 33126 US/Ac-000000007923 Org=/36228349 N Ortevalencia Estado Carabobo Ve Ogb =Citibank N.A. New York NY US Obi=/Uri/Pago Factura 16185 Ssn: 00572949 Trn: 0142352269Fc,4187.72
09/26/2024,Book Transfer Credit B/O: Banco Aliado S.A. Panama Panama 08310-2109 PA Org:/1040027652 Piquant Manor Ltd Ogb: Banco Aliado S.A. Torre Banco Aliado Ref:/Roc/R73299/Uri/Lapices/Chgs/USD20.00/Ocmt/USD10785.5/ Trn: 2130208270Js,10765.50
09/27/2024,Orig CO Name:Seaboard Marine Orig ID:1592314805 Desc Date:240926 CO Entry Descr:Truckers Sec:CTX Trace#:028000088528924 Eed:240927 Ind ID:00713498 Ind Name:0004Tech Cargo Trn: 2718528924Tc,525.00
09/30/2024,Orig CO Name:Global Cargo And Orig ID:0831118696 Desc Date: CO Entry Descr:ACH Creditsec:PPD Trace#:053101129118069 Eed:240930 Ind ID: Ind Name:Tech Cargo LLC Trn: 2749118069Tc,2830.00
10/01/2024,Fedwire Credit Via: Bank of America N.A./026009593 B/O: C-Post International N.V.,9980.99
10/01/2024,Orig CO Name:Intuit 23469962,14697.81
10/03/2024,Deposit 1209788010,4300.00
10/03/2024,Orig CO Name:Pah Distributors,33323.66
10/04/2024,Zelle Payment From Ja Global Group Corporation,1025.32
10/08/2024,Orig CO Name:Seaboard Marine,1575.00
10/09/2024,Orig CO Name:Seaboard Marine,1050.00
10/10/2024,Chips Credit Via: Bank of America N.A./0959 B/O: Singer Sourcing Limited LLC,7132.00
10/15/2024,Orig CO Name:Intuit 37144984,31291.82
10/16/2024,Orig CO Name:Seaboard Marine,525.00
10/17/2024,Deposit 2128053343,3006.32
10/17/2024,Orig CO Name:Pah Distributors,13921.95
10/18/2024,Orig CO Name:Seaboard Marine,5250.00
10/18/2024,Zelle Payment From Grupo Rahal Center LLC,3400.00
10/18/2024,Orig CO Name:Supricom LLC,1225.00
10/21/2024,Zelle Payment From Distribuidora El Punto LLC,2045.00
10/22/2024,Orig CO Name:Pah Distributors,8491.87
10/23/2024,Book Transfer Credit B/O: Brandforce International LLC,4526.62
10/23/2024,Book Transfer Credit B/O: Belgradus Logistics USA LLC,4000.00
10/23/2024,Zelle Payment From A & M Global Solutions Inc.,5000.00
10/23/2024,Zelle Payment From Vladimir Gil,1992.74
10/24/2024,Fedwire Credit Via: Bank Ozk/082907273 B/O: Francesca Alessandra Escalona,5985.00
10/24/2024,Orig CO Name:Supricom LLC,10150.00
10/24/2024,Orig CO Name:Global Cargo And,5000.00
10/24/2024,Zelle Payment From Supply Dental Paulino LLC,758.00
10/25/2024,Chips Credit Via: Citibank N.A./0008 B/O: Amcor Pet Packaging De Venezue,14869.00
10/25/2024,Chips Credit Via: Bank of America N.A./0959 B/O: Southstar Financial LLC,3297.62
10/25/2024,Chips Credit Via: Bank of America N.A./0959 B/O: Sanael LLC Dba Central Trading,1625.00
10/29/2024,Orig CO Name:Novact Corporati,2277.53
10/29/2024,Zelle Payment From Baruch Dershowitz,575.00
10/30/2024,Chips Credit Via: Citibank N.A./0008 B/O: Amcor Pet Packaging De Venezue,1169.97
10/31/2024,Fedwire Credit Via: Ocean Bank/066011392 B/O: Bonanza Wholesale Corp,8232.22
11/01/2024,Fedwire Credit Via: Popular Bank/026008811 B/O: Herko International Inc,145.00
11/01/2024,Orig CO Name:Seaboard Marine,525.00
11/04/2024,Orig CO Name:Pah Distributors,15034.46
11/04/2024,Zelle Payment From Thema Corp,5192.75
11/04/2024,Zelle Payment From Distribuidora El Punto LLC,2851.90
11/04/2024,Orig CO Name:Chax Multiservic,2520.00
11/04/2024,Zelle Payment From Comercializadora Tracto Laser Miami,390.00
11/06/2024,Book Transfer Credit B/O: Maduro & Curiel's Bank NV,11607.86
11/06/2024,Chips Credit Via: Citibank N.A./0008 B/O: Trade Link Capital Inc,290.00
11/06/2024,Zelle Payment From Vladimir Gil,1992.74
11/06/2024,Zelle Payment From Halcon Global Cargo LLC,820.00
11/06/2024,Orig CO Name:Seaboard Marine,525.00
11/06/2024,Zelle Payment From K Export L.L.C.,445.63
11/07/2024,Chips Credit Via: Wells Fargo Bank N.A./0509 B/O: Inter Andina Jgbl Sac,5764.19
11/07/2024,Deposit 1259316941,585.00
11/07/2024,Orig CO Name:Seaboard Marine,2475.00
11/08/2024,Zelle Payment From Tu Paquetico Corp.,1000.00
11/12/2024,Orig CO Name:Global Cargo And,1500.00
11/12/2024,Orig CO Name:Seaboard Marine,1050.00
11/13/2024,Orig CO Name:Intuit 18229251,26259.36
11/13/2024,Orig CO Name:Supricom LLC,5400.00
11/13/2024,Orig CO Name:Supricom USA LLC,4750.00
11/14/2024,Zelle Payment From Senaduana Freight Forwarders Inc.,3004.83
11/14/2024,Zelle Payment From Flori Cargo LLC,2916.20
11/14/2024,Orig CO Name:Seaboard Marine,1050.00
11/19/2024,Fedwire Credit Via: Bank of America N.A./026009593 B/O: M M Caribbean Security,1096.20
11/19/2024,Orig CO Name:Supricom LLC,10855.00
11/21/2024,Fedwire Credit Via: First Horizon Bank/084000026 B/O: Caribe Cargo S R L,3400.00
11/21/2024,Orig CO Name:Pah Distributors,10473.69
11/21/2024,Zelle Payment From Global Cargo And Travel LLC,3000.00
11/21/2024,Zelle Payment From Florida Traffic Supply LLC,846.81
11/22/2024,Fedwire Credit Via: Wells Fargo Bank N.A./026005092 B/O: Caribe Cargo S A,130.00
11/25/2024,Zelle Payment From Global Cargo And Travel LLC,3300.00
11/25/2024,Zelle Payment From Medical Instrument Supplier LLC,2216.50
11/26/2024,Foreign Remittance Credit B/O: JPMorgan Chase Bank National,10772.60
11/26/2024,Zelle Payment From Equixpress Inc,358.05
11/27/2024,Orig CO Name:Seaboard Marine,1575.00
11/29/2024,Zelle Payment From Tu Paquetico Corp.,3985.00
12/02/2024,Zelle Payment From Cases Investment Inc,5000.00
12/02/2024,Zelle Payment From Global Cargo And Travel LLC,3124.41
12/05/2024,Orig CO Name:Pah Distributors,10726.57
12/09/2024,Zelle Payment From Iso Tools LLC,1500.00
12/09/2024,Zelle Payment From Iso Tools LLC,1491.21
12/10/2024,Zelle Payment From Global Cargo And Travel LLC,5000.00
12/12/2024,Fedwire Credit Via: Popular Bank/026008811 B/O: Tech Cargo LLC,40000.00
12/17/2024,Chips Credit Via: Citibank N.A./0008 B/O: Amcor Pet Packaging De Venezue,2379.03
12/17/2024,Orig CO Name:Global Cargo And,7500.00
12/17/2024,Zelle Payment From Tu Paquetico Corp.,2013.55
12/19/2024,Orig CO Name:Pah Distributors,18578.67
12/26/2024,Zelle Payment From Senaduana Freight Forwarders Inc.,4325.00
12/31/2024,Chips Credit Via: Bank of America N.A./0959 B/O: 1/Sanael LLC,5000.00
