Date,Description,Additions,Subtractions
02/20/2024,"Check 2246 000007059089860",,1200.00
02/21/2024,"Preauthorized Wd TECH CARGO LLC ACH 240221 001712070000051",,11245.33
02/22/2024,"Maintenance Fee ANALYSIS ACTIVITY FOR 01/24 000000000000000",,301.84
02/22/2024,"Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000",,20608.89
02/23/2024,"Wire Transfer-in 1/MULTIMODAL PANAM 1/MULTIMODAL PANAM A SA 000000000000233",6258.57,
02/23/2024,"Preauthorized Wd CMA-CGM LLC CMA-CGM LL 240223 021214895386351",,12600.00
02/26/2024,"Deposit 000007182615190",3950.00,
02/26/2024,"Wire Transfer-in 1/MULTIMODAL PANAM 1/MULTIMODAL PANAM A SA 000000000000189",6258.00,
02/26/2024,"Preauthorized Wd VISA PAYMENT 240226 091000012701266",,3000.00
02/26/2024,"Preauthorized Wd TECH CARGO LLC ACH 240226 001715290000075",,3080.00
02/26/2024,"Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMER ICAN SERVICES LLC 000000000000424",,35240.00
02/27/2024,"Preauthorized Credit CAPITAL LOGISTIC MILENA 240227 6811688495 211274451378512",1045.00,
02/27/2024,"Deposit 000007182626120",10245.00,
02/27/2024,"Preauthorized Wd MAERSK A/S 4390002231 240226 004390002231 111000026865635",,4475.00
02/27/2024,"Check 2248 000007093321130",,1313.50
02/28/2024,"Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 15057 - 15058 - 15059 - 15060 - 15061 - 15077 - 1 5124 - 15137 - 151 021000027191509",72818.00,
02/28/2024,"Deposit 000007182657920",47525.00,
02/28/2024,"Automatic Ln Paymt AUTOMATIC LOAN PAY 000000000000000",,480.07
02/28/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240227 BATCH 5670993 081000606538316",,1889.27
02/28/2024,"Preauthorized Wd TECH CARGO LLC ACH 240228 001703510000037",,750.00
02/28/2024,"Online Intl Wire ANDASHUN GLOBAL SU ANDASHUN GLOBAL SU PPLY CHAIN(HK)LTD 000000000000600",,29740.00
02/29/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240228 BATCH 5673180 081000607697262",,397.50
02/29/2024,"Check 2250 000007093363810",,64.26
03/08/2024,"Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMER ICAN SERVICES LLC 000000000000558",,48455.00
03/11/2024,"Wire Transfer-in 1/EASY FREIGHT C A 1/EASY FREIGHT C A 000000000000007",3562.50,
03/11/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240308 BATCH 5700158 081000606021565",,98.50
03/11/2024,"Preauthorized Wd TECH CARGO LLC ACH 240311 001716150000082",,4550.30
03/11/2024,"Preauthorized Wd TECH CARGO LLC ACH 240311 001716150000089",,6200.00
03/11/2024,"Preauthorized Wd TECH CARGO LLC ACH 240311 001716150000119",,12600.00
03/11/2024,"Check 2255 000007093929800",,1200.00
03/11/2024,"Online Intl Wire GLOBUS TRANSITOS P GLOBUS TRANSITOS P VT LTD 000000000000433",,11871.00
03/12/2024,"Preauthorized Wd JOHN HANCOCK MAN PAYMENT TRN*1*E28707347\ 028000085098281",,650.10
03/12/2024,"Preauthorized Wd MASS MUTUAL INS. PREMIUM 240312 021000023269596",,107.89
03/12/2024,"Check 2249 000007060213130",,2750.00
03/12/2024,"Online Domestic Wire DHL GLOBAL FORWARD DHL GLOBAL FORWARD ING 000000000000462",,594.00
03/12/2024,"Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMER ICAN SERVICES LLC 000000000000461",,37852.00
03/13/2024,"Wire Transfer-in FAMILY MARKET C.AP FAMILY MARKET C.A 000000000000116",4350.00,
03/13/2024,"Deposit 000007182918690",34952.59,
03/13/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240312 BATCH 5710997 081000608330291",,38.50
03/13/2024,"Preauthorized Wd TECH CARGO LLC ACH 240313 001706400000029",,150.00
03/13/2024,"Preauthorized Wd TECH CARGO LLC ACH 240313 001706400000030",,153.73
03/13/2024,"Preauthorized Wd TECH CARGO LLC ACH 240313 001706400000018",,750.00
03/14/2024,"Preauthorized Wd MAERSK A/S 4350002410 240313 004350002410 111000022729402",,12228.00
03/14/2024,"Preauthorized Wd TECH CARGO LLC ACH 240314 001710540000102",,3420.00
03/14/2024,"Check 2256 000007094184920",,2699.46
03/15/2024,"Wire Transfer-in GOLDEN HOLDERS AND GOLDEN HOLDERS AND TRADERS SA 000000000000198",2994.00,
03/15/2024,"Deposit 000007182969380",62750.00,
03/15/2024,"Preauthorized Wd TECH CARGO LLC ACH 240315 001703040000007",,6595.00
03/15/2024,"Preauthorized Wd TECH CARGO LLC ACH 240315 001703040000040",,9288.19
03/15/2024,"Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000",,201.18
03/18/2024,"Preauthorized Wd VISA PAYMENT 240318 091000010126562",,3000.00
03/18/2024,"Preauthorized Wd MAERSK A/S 4320002430 240315 004320002430 111000026501695",,7901.00
03/18/2024,"Preauthorized Wd TECH CARGO LLC ACH 240318 001712010000105",,100.00
03/18/2024,"Preauthorized Wd TECH CARGO LLC ACH 240318 001712010000109",,957.91
03/18/2024,"Online Domestic Wire EXPRESS GLOBAL USA EXPRESS GLOBAL USA INC. DBA GRUDEN 000000000000456",,750.00
03/19/2024,"Preauthorized Credit SPACE PLUS USA L SENDER 240319 707530166 113000021787696",13985.69,
03/19/2024,"Preauthorized Credit SIAS LOGISTICS L ACH PMT INV15247-15248-151 39-15140-15143-152 01-15202-15218-152 19-15235-15343-152 021000023912715",74533.00,
03/19/2024,"Preauthorized Wd CMA-CGM LLC CMA-CGM LL 240319 021214892540636",,2200.00
03/19/2024,"Preauthorized Wd VISA PAYMENT 240319 091000013936890",,3145.50
03/19/2024,"Preauthorized Wd TECH CARGO LLC ACH 240319 001713090000038",,2547.70
03/19/2024,"Preauthorized Wd TECH CARGO LLC ACH 240319 001713090000074",,29332.50
03/19/2024,"Online Intl Wire PALM LOGISTICS CO. PALM LOGISTICS CO. , LTD 000000000000443",,11247.80
03/19/2024,"Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMER ICAN SERVICES LLC 000000000000442",,48235.00
03/20/2024,"Deposit 000007183022690",18975.00,
03/20/2024,"Wire Transfer-in OMEGA TECH, S.A.BA OMEGA TECH, S.A. 000000000000467",22125.00,
03/20/2024,"Wire Transfer-in OMEGA TECH, S.A.BA OMEGA TECH, S.A. 000000000000462",27932.46,
03/20/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240319 BATCH 5731720 081000604574249",,30.34
03/20/2024,"Check 2257 000007094468560",,1100.00
03/20/2024,"Check 2258 000007094476670",,7000.00
03/20/2024,"Maintenance Fee ANALYSIS ACTIVITY FOR 02/24 000000000000000",,257.40
03/21/2024,"Wire Transfer-in BACKUP ENERGY SOLU BACKUP ENERGY SOLU TIONS (BES), SRL 000000000000458",3200.00,
03/21/2024,"Preauthorized Wd STGEORGELOGISTIC WEBPAYMENT 240321 091000014970413",,333.62
03/21/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240320 BATCH 5734034 081000605616085",,1165.16
03/21/2024,"Preauthorized Wd TECH CARGO LLC ACH 240321 001339300000004",,10734.00
03/21/2024,"Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000",,120.47
03/22/2024,"Deposit 000007183052440",100250.00,
03/22/2024,"Preauthorized Wd MAERSK A/S 4350002463 RMR*IK*DIRECT DEBI T PAYMENT CONFIRMA T\RMR*IK*IO\ 111000021573833",,710.00
03/22/2024,"Check 2259 000007094621010",,767.68
03/22/2024,"Check 2260 000007094627640",,150.00
03/22/2024,"Check 2261 000007094627630",,150.00
03/22/2024,"Check 2262 000007094627620",,1100.00
03/22/2024,"Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000",,34042.47
03/25/2024,"Deposit 000007183082770",6008.03,
03/25/2024,"Wire Transfer-in 1/MULTIMODAL PANAM 1/MULTIMODAL PANAM A, S.A. 000000000000525",10112.15,
03/25/2024,"Preauthorized Wd VISA PAYMENT 240325 091000012023427",,3000.00
03/25/2024,"Preauthorized Wd TECH CARGO LLC ACH 240325 001715280000092",,100.00
03/25/2024,"Preauthorized Wd TECH CARGO LLC ACH 240325 001715280000005",,3315.00
03/25/2024,"Preauthorized Wd TECH CARGO LLC ACH 240325 001715280000024",,8700.00
03/25/2024,"Check 2264 000007094725840",,720.00
03/25/2024,"Online Intl Wire CONEXO ASSESSORIA CONEXO ASSESSORIA EM COMERCIO EXTER 000000000000405",,3253.09
03/25/2024,"Online Domestic Wire TECH CARGO, LLCJPM TECH CARGO, LLC 000000000000316",,25000.00
03/25/2024,"Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMER ICAN SERVICES LLC 000000000000406",,34840.00
03/26/2024,"Wire Transfer-in 1/C.T.I. S.R.L.UNI 1/C.T.I. S.R.L. 000000000000044",912.52,
03/26/2024,"Preauthorized Wd MAERSK A/S 4320002560 RMR*IK*DIRECT DEBI T PAYMENT CONFIRMA T\RMR*IK*IO\ 111000021396064",,7795.00
03/26/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240325 BATCH 5746411 081000609183534",,627.16
03/27/2024,"Preauthorized Credit CAPITAL LOGISTIC MILENA 240327 6811688495 211274457570027",1015.00,
03/27/2024,"Transfer Debit Dp-Ls REF 0871603L FUNDS TRANSFER TO LOAN XXXXXXX7436 NOTE 10102 FROM 997000327160305",,25000.00
03/27/2024,"Preauthorized Wd CMA-CGM LLC CMA-CGM LL 240327 021214895599161",,4250.00
03/27/2024,"Preauthorized Wd VISA PAYMENT 240327 091000012826712",,5000.00
03/27/2024,"Preauthorized Wd VISA PAYMENT 240327 091000012826713",,1577.22
03/27/2024,"Preauthorized Wd TECH CARGO LLC ACH 240327 001719090000081",,550.00
03/27/2024,"Preauthorized Wd TECH CARGO LLC ACH 240327 001719090000007",,1230.26
03/27/2024,"Preauthorized Wd TECH CARGO LLC ACH 240327 001719090000038",,1791.28
03/27/2024,"Preauthorized Wd TECH CARGO LLC ACH 240327 001719090000069",,5241.44
03/27/2024,"Check 2267 000007094914110",,259.50
03/27/2024,"Online Intl Wire KATIA PEREZ MONTEL KATIA PEREZ MONTEL ONGO 000000000000477",,1000.00
03/28/2024,"Preauthorized Wd MAERSK A/S 4320002448 RMR*IK*DIRECT DEBI T PAYMENT CONFIRMA T\RMR*IK*IO\ 111000023675866",,10988.00
03/28/2024,"Preauthorized Wd PAYCARGO ACHPAYMENT 240327 BATCH 5756880 081000601510234",,3228.74
03/28/2024,"Preauthorized Wd TECH CARGO LLC ACH 240328 001712040000034",,5205.00
03/28/2024,"Preauthorized Wd TECH CARGO LLC ACH 240328 001712040000061",,6250.00
03/28/2024,"Check 2265 000007060924160",,587.00
03/28/2024,"Check 2266 000007060931180",,2881.91
03/28/2024,"Online Intl Wire GLOBUS TRANSITOS P GLOBUS TRANSITOS P VT LTD 000000000000600",,12075.00
03/29/2024,"Preauthorized Credit INELEC CORPORATI SENDER 240329 709629122 113000022347849",372.20,
03/29/2024,"Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 15249-15283-1 5284-15348-15320-1 5321-15322 021000021194033",61780.00,
03/29/2024,"Deposit 000007183146740",2854.88,
03/29/2024,"Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000",,201.18
Date,Description,Additions,Subtractions
03/29/2024,Beginning balance,0.00,0.00
04/01/2024,'Deposit 000007183180400,85445.00,0.00
04/01/2024,'Preauthorized Wd TECH CARGO LLC ACH 240401 001714560000058,-95.00
04/01/2024,'Preauthorized Wd TECH CARGO LLC ACH 240401 001714560000057,0.00,-6125.00
04/01/2024,'Preauthorized Wd TECH CARGO LLC ACH 240401 001714560000099,0.00,-45.00
04/01/2024,'Preauthorized Wd TECH CARGO LLC ACH 240401 001714560000068,0.00,-2000.00
04/01/2024,'Preauthorized Wd TECH CARGO LLC ACH 240401 001714560000107,0.00,-5813.80
04/01/2024,Check 2236 000007095124730,0.00,-222.00
04/01/2024,Check 2263 000007095110660,0.00,-210.00
04/03/2024,'Preauthorized Credit PAYCARGO ACHPAYMENT 240402 BATCH 5769359 081000606794508,4075.00,0.00
04/03/2024,'Deposit 000007183227400,28808.50,0.00
04/03/2024,'Deposit 000007183237280,57100.00,0.00
04/03/2024,'Preauthorized Wd CAPITAL ONE MOBILE PMT 240402 3X8O9WE375NJ5SB 056073615729857,0.00,-1862.08
04/03/2024,'Preauthorized Wd VISA PAYMENT 240403 091000011795607,0.00,-3000.00
04/03/2024,'Preauthorized Wd MERCHANT BNKCD DISCOUNT 240403 938206002884 026008810524308,0.00,-59.85
04/03/2024,'Preauthorized Wd TECH CARGO LLC ACH 240403 001713100000137,0.00,-1876.94
04/03/2024,'Preauthorized Wd TECH CARGO LLC ACH 240403 001713100000138,0.00,-2538.82
04/03/2024,'Preauthorized Wd TECH CARGO LLC ACH 240403 001713100000155,0.00,-4917.14
04/03/2024,Check 2268 000007061263810,0.00,-2500.00
04/03/2024,Check 2269 000007061263800,0.00,-270.00
04/03/2024,Check 2270 000007061262700,0.00,-1778.00
04/03/2024,'Online Intl Wire PALM LOGISTICS CO. PALM LOGISTICS CO. LTD 000000000000477,0.00,-9960.00
04/03/2024,'Online Intl Wire TAIZHOU SUTECH POW TAIZHOU SUTECH POWER MacHINERY 000000000000478,0.00,-10710.00
04/03/2024,'Online Intl Wire MINGKUN INTERNATIO MINGKUN INTERNATIONAL LOGISTICS LTD 000000000000476,0.00,-23313.13
04/04/2024,'Wire Transfer-in CHAX PR LLCBP24040 CHAX PR LLC 000000000000281,13309.50,0.00
04/04/2024,Check 2273 000007061345400,0.00,-135.00
04/04/2024,'Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000,0.00,-36769.96
04/05/2024,'Preauthorized Credit INELEC CORPORATI SENDER 240405 711373692 113000022873930,444.20,0.00
04/05/2024,'Preauthorized Credit SPACE PLUS USA L SENDER 240405 711782334 113000022903095,3713.44,0.00
04/05/2024,'Preauthorized Wd TECH CARGO LLC ACH 240405 001306320000034,0.00,-1006.43
04/05/2024,'Preauthorized Wd TECH CARGO LLC ACH 240405 001306320000037,0.00,-3064.50
04/05/2024,'Preauthorized Wd TECH CARGO LLC ACH 240405 001306320000012,0.00,-25879.20
04/05/2024,Check 2271 000007095435830,0.00,-5836.00
04/05/2024,'Online Domestic Wire CYZERG LLCTD BANK CYZERG LLC 000000000000393,0.00,-2808.78
04/05/2024,'Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMERICAN SERVICES LLC 000000000000561,0.00,-22025.00
04/05/2024,'Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMERICAN SERVICES LLC 000000000000392,0.00,-46940.00
04/08/2024,'Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 15323 - 15336 - 15352 - 15367 - 15370 - 15371 - 1 5518 - 15519 021000022597047,52561.63,0.00
04/08/2024,'Deposit 000007183305860,9487.45,0.00
04/08/2024,'Preauthorized Wd AMWINS GRP BEN INS PREMIU 240408 091000014272250,0.00,-1096.92
04/08/2024,'Preauthorized Wd PAYCARGO ACHPAYMENT 240405 BATCH 5784403 081000600440757,0.00,-1639.18
04/08/2024,'Preauthorized Wd MAGAYA ACH 7868459150 240408 0970001826 026073187080165,0.00,-2706.16
04/08/2024,'Online Domestic Wire FORDPOINTER SHIPPI FORDPOINTER SHIPPING (N.Y.) INC 000000000000475,0.00,-120.00
04/09/2024,'Deposit 000007183339880,18595.00,0.00
04/09/2024,'Preauthorized Wd MAERSK A/S 4390002899 240408 004390002899 111000022355838,0.00,-17787.00
04/09/2024,'Preauthorized Wd PAYCARGO ACHPAYMENT 240408 BATCH 5786140 081000601870915,0.00,-164.00
04/10/2024,'Deposit 000007183369440,85650.00,0.00
04/10/2024,'Preauthorized Wd TECH CARGO LLC ACH 240410 001703030000115,0.00,-1068.83
04/10/2024,'Preauthorized Wd TECH CARGO LLC ACH 240410 001703030000131,0.00,-2534.00
04/10/2024,'Preauthorized Wd TECH CARGO LLC ACH 240410 001703030000149,0.00,-4046.80
04/10/2024,'Online Domestic Wire COSCO SHIPPING LIN COSCO SHIPPING LINES INC. 000000000000416,0.00,-150.00
04/10/2024,'Online Domestic Wire EXPRESS GLOBAL USA EXPRESS GLOBAL USA INC. DBA GRUDEN 000000000000415,0.00,-750.00
04/10/2024,'Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMERICAN SERVICES LLC 000000000000414,0.00,-4405.00
04/11/2024,'Preauthorized Wd LEASE DIRECT WEB PAY 240411 82175040 043000099838729,0.00,-709.85
04/11/2024,'Preauthorized Wd CMA-CGM LLC CMA-CGM LL 240411 021214895368151,0.00,-16300.00
04/12/2024,'Deposit 000007183416010,35573.18,0.00
04/12/2024,'Preauthorized Wd JOHN HANCOCK MAN PAYMENT TRN*1*E29763876\ 028000081054773,0.00,-650.10
04/12/2024,'Preauthorized Wd MASS MUTUAL INS. PREMIUM 240412 021000028662397,0.00,-107.89
04/12/2024,'Preauthorized Wd TECH CARGO LLC ACH 240412 001151460000014,0.00,-4100.00
04/12/2024,'Online Intl Wire GLOBUS TRANSITOS P GLOBUS TRANSITOS PVT LTD 000000000000094,0.00,-4622.00
04/12/2024,'Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMERICAN SERVICES LLC 000000000000093,0.00,-48455.00
04/12/2024,'Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000,0.00,-210.37
04/15/2024,'Deposit 000007183438030,2000.00,0.00
04/15/2024,'Wire Transfer-in LOVIKTA LOGISTICS LOVIKTA LOGISTICS (PRIVATE) LIMITED 000000000000049,2045.50,0.00
04/15/2024,'Wire Transfer-in PEARL MERCHANDISIN PEARL MERCHANDISING AND DISTRIBUTIO 000000000000241,6352.48,0.00
04/15/2024,'Preauthorized Wd MAERSK A/S 4350002830 RMR*IK*DIRECT DEBI T PAYMENT CONFIRMA T\RMR*IK*IO\ 111000027691370,0.00,-16300.00
04/15/2024,'Preauthorized Wd TECH CARGO LLC ACH 240415 001715050000042,0.00,-750.00
04/15/2024,Check 2275 000007096005600,0.00,-640.00
04/16/2024,'Preauthorized Wd PAYCARGO ACHPAYMENT 240415 BATCH 5807204 081000608050233,0.00,-400.48
04/16/2024,Check 2276 000007096064590,0.00,-3719.16
04/16/2024,Check 2278 000007096072700,0.00,-598.90
04/17/2024,'Deposit 000007183482110,63220.00,0.00
04/18/2024,'Preauthorized Wd PAYCARGO ACHPAYMENT 240417 BATCH 5816620 081000600514530,0.00,-1545.19
04/18/2024,Check 2277 000007062249530,0.00,-1546.60
04/18/2024,'Maintenance Fee ANALYSIS ACTIVITY FOR 03/24 000000000000000,0.00,-382.12
04/19/2024,'Online Domestic Wire EVERGREEN SHIPPING EVERGREEN SHIPPING AGENCY (AMERICA) 000000000000476,0.00,-140.00
04/19/2024,'Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMERICAN SERVICES LLC 000000000000477,0.00,-91415.00
04/19/2024,'Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000,0.00,-29851.61
04/22/2024,'Preauthorized Credit SIAS LOGISTICS L ACH PMT INV - 15382-15405- 15406-15407-15408- 15409-15426-15454- 15439-15440-15450 021000029159849,66608.63,0.00
04/22/2024,'Deposit 000007183552950,9652.25,0.00
04/22/2024,'Preauthorized Wd TECH CARGO LLC ACH 240422 001713310000052,0.00,-1400.00
04/22/2024,'Preauthorized Wd TECH CARGO LLC ACH 240422 001713310000014,0.00,-11575.00
04/22/2024,'Preauthorized Wd TECH CARGO LLC ACH 240422 001713310000080,0.00,-16778.00
04/22/2024,'Online Domestic Wire KRG LOGISTICA LTDA KRG LOGISTICA LTDA 000000000000464,0.00,-270.00
04/23/2024,'Preauthorized Wd MAERSK A/S 4380002869 240422 004380002869 111000026047094,0.00,-17075.00
04/23/2024,'Preauthorized Wd PAYCARGO ACHPAYMENT 240422 BATCH 5828321 081000604123135,0.00,-623.99
04/24/2024,'Wire Transfer-in BACKUP ENERGY SOLU BACKUP ENERGY SOLUTIONS (BES) SRL 000000000000139,9200.00,0.00
04/24/2024,'Preauthorized Wd TECH CARGO LLC ACH 240424 001703500000065,0.00,-12090.00
04/24/2024,'Preauthorized Wd TECH CARGO LLC ACH 240424 001703500000087,0.00,-100.00
04/24/2024,Check 2280 000007096695440,0.00,-2600.00
04/24/2024,Check 2281 000007096679820,0.00,-5793.00
04/24/2024,Check 2283 000007096684020,0.00,-400.00
04/24/2024,'Online Intl Wire BOSMARTRANSUARASIT BOSMARTRANSUARASITASVELOJTICLTDSTI. 000000000000331,0.00,-4029.00
04/24/2024,'Online Domestic Wire CGZ SOLUTIONS LLCJ CGZ SOLUTIONS LLC 000000000000354,0.00,-4148.06
04/24/2024,'Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMERICAN SERVICES LLC 000000000000330,0.00,-47905.00
04/25/2024,'Wire Transfer-in OMEGA TECH S.A.OC OMEGA TECH S.A. 000000000000410,30700.00,0.00
04/25/2024,'Deposit 000007183605020,144218.27,0.00
04/26/2024,'Preauthorized Credit INTERLINK MARKET PAYMENT 240426 1804315 043000093011200,6068.76,0.00
04/26/2024,'Debit Memo 000006524490270,0.00,-5616.95
04/26/2024,'Online Intl Wire MILESTONE FRESH CO MILESTONE FRESH COSTA RICA SRL 000000000000656,0.00,-100.00
04/26/2024,'Online Intl Wire TRISTAR LOGISTICS TRISTAR LOGISTICS PERU 000000000000018,0.00,-5616.95
04/26/2024,'Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMERICAN SERVICES LLC 000000000000655,0.00,-74885.00
04/26/2024,'Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000,0.00,-210.37
04/29/2024,'Wire Transfer-in 1/MULTIMODAL PANAM 1/MULTIMODAL PANAMA S.A. 000000000000594,11401.82,0.00
04/29/2024,'Automatic Ln Paymt AUTOMATIC LOAN PAY 000000000000000,0.00,-526.81
04/29/2024,'Preauthorized Wd TECH CARGO LLC ACH 240429 001719190000035,0.00,-260.00
04/29/2024,'Preauthorized Wd TECH CARGO LLC ACH 240429 001719190000111,0.00,-550.00
04/29/2024,'Preauthorized Wd TECH CARGO LLC ACH 240429 001719190000113,0.00,-1766.79
04/29/2024,Check 2284 000007096802320,0.00,-2100.00
04/30/2024,'Credit Memo CREDIT WIRE4/26/24 073000430100809,5616.95,0.00
04/30/2024,'Wire Transfer-in LEXIMP LOGISTIC SA LEXIMP LOGISTIC SAS 000000000000181,2541.00,0.00
04/30/2024,'Deposit 000007183659040,5519.55,0.00
04/30/2024,'Wire Transfer-in OMEGA TECH S.A.OC OMEGA TECH S.A. 000000000000329,38792.09,0.00
04/30/2024,'Preauthorized Wd MAERSK A/S 4390003280 240429 004390003280 111000022914639,0.00,-23109.00
04/30/2024,'Preauthorized Wd PAYCARGO ACHPAYMENT 240429 BATCH 5848221 081000600111990,0.00,-1359.00
04/30/2024,'Preauthorized Wd TECH CARGO LLC ACH 240430 001715560000102,0.00,-19500.00
04/30/2024,'Online Domestic Wire SEABOARD MARINE L SEABOARD MARINE LTD. 000000000000223,0.00,-12400.00
05/31/2024,Beginning balance,0.00,0.00
05/01/2024,'Online Intl Wire KATIA PEREZ MONTEL KATIA PEREZ MONTELONGO 000000000000504,0.00,-1000.00
05/01/2024,'Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMERICAN SERVICES LLC 000000000000503,0.00,-30585.00
05/02/2024,'Deposit 000007183697990,21795.00,0.00
05/02/2024,'Preauthorized Wd PAYCARGO ACHPAYMENT 240501 BATCH 5856063 081000602832004,0.00,-1062.16
05/02/2024,'Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000,0.00,-25334.50
05/03/2024,'Credit Memo ADV FROM LN 70070017436-10102 256000503111322,85000.00,0.00
05/03/2024,'Deposit 000007183747080,86220.00,0.00
05/03/2024,'Preauthorized Wd CMA-CGM LLC CMA-CGM LL 240503 021214896552938,0.00,-8950.00
05/03/2024,'Preauthorized Wd MAERSK A/S 4370003445 240502 004370003445 111000029531229,0.00,-15766.00
05/03/2024,'Preauthorized Wd MERCHANT BNKCD DISCOUNT 240503 938206002884 026008816530444,0.00,-59.85
05/03/2024,'Preauthorized Wd TECH CARGO LLC ACH 240503 001711370000011,0.00,-7850.00
05/03/2024,'Preauthorized Wd TECH CARGO LLC ACH 240503 001711370000037,0.00,-1000.00
05/03/2024,'Preauthorized Wd TECH CARGO LLC ACH 240503 001711370000026,0.00,-1367.20
05/03/2024,'Preauthorized Wd TECH CARGO LLC ACH 240503 001711370000102,0.00,-4912.30
05/03/2024,'Preauthorized Wd TECH CARGO LLC ACH 240503 001711370000050,0.00,-6250.00
05/03/2024,'Preauthorized Wd TECH CARGO LLC ACH 240503 001711370000047,0.00,-12339.65
05/03/2024,Check 2285 000007097115550,0.00,-630.00
05/03/2024,'Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMERICAN SERVICES LLC 000000000000601,0.00,-52860.00
05/03/2024,'Automatic Transfer TRANSFER TO DEPOSIT SYSTEM ACCOUNT XXXXXX8503 000000000000000,0.00,-9589.10
05/06/2024,'Preauthorized Credit SPACE PLUS USA L SENDER 240506 716955086 113000024610851,11862.38,0.00
05/06/2024,'Preauthorized Credit SIAS LOGISTICS L ACH PMT INV. 15455-15456-1 5497-15517-15520-1 5522-15544-15545-1 5546-15547-15591 021000020005045,98946.54,0.00
05/06/2024,'Preauthorized Wd MAGAYA ACH 7868459150 240506 1250000944 026073187229318,0.00,-2706.16
05/06/2024,'Preauthorized Wd VISA PAYMENT 240506 091000014359650,0.00,-8000.00
05/06/2024,'Preauthorized Wd TECH CARGO LLC ACH 240506 001711200000090,0.00,-1000.00
05/06/2024,'Preauthorized Wd TECH CARGO LLC ACH 240506 001711200000001,0.00,-2465.00
05/06/2024,'Preauthorized Wd TECH CARGO LLC ACH 240506 001711200000099,0.00,-770.00
05/06/2024,Check 2286 000007097250790,0.00,-1100.00
05/06/2024,Check 2287 000007097264080,0.00,-1500.00
05/06/2024,Check 2288 000007097264090,0.00,-830.00
05/06/2024,'Online Domestic Wire INQUATRO INCCHOICE INQUATRO INC 000000000000501,0.00,-5800.00
05/06/2024,'Online Domestic Wire CROWLEY LATIN AMER CROWLEY LATIN AMERICAN SERVICES LLC 000000000000502,0.00,-8810.00
05/07/2024,'Preauthorized Wd PAYCARGO ACHPAYMENT 240506 BATCH 5871098 081000607048333,0.00,-3034.50
05/07/2024,Check 2289 000007063284380,0.00,-5325.00
05/07/2024,'Online Domestic Wire CYZERG LLCTD BANK CYZERG LLC 000000000000569,0.00,-2072.78
05/07/2024,'Online Domestic Wire ANOVA MARINE INSUR ANOVA MARINE INSURANCE SERVICES LL 000000000000568,0.00,-7197.30
05/08/2024,'Preauthorized Wd AMWINS GRP BEN INS PREMIU 240508 091000014181461,0.00,-822.69
05/08/2024,'Preauthorized Wd UNITED HEALTHCAR EDI PAYMTS 240508 173024235131 043000267152697,0.00,-5855.58
05/09/2024,'Preauthorized Credit PAYCARGO ACHPAYMENT 240508 BATCH 5877808 081000609357706,715.00,0.00
05/09/2024,'Preauthorized Wd VISA PAYMENT 240509 091000014647372,0.00,-5000.00
05/09/2024,'Preauthorized Wd TECH CARGO LLC ACH 240509 001152410000062,0.00,-45.00
